rodada,multiplicador,end,date,minuto,total,fonte,fetched_at
3108891,3.91,21:14:43,2025-09-20,14,1,apostaganha,2025-09-21T00:38:19+00:00
3108892,1.43,21:15:09,2025-09-20,15,1,apostaganha,2025-09-21T00:38:19+00:00
3108893,4.92,21:15:26,2025-09-20,15,1,apostaganha,2025-09-21T00:38:19+00:00
3108894,1.13,21:15:59,2025-09-20,15,1,apostaganha,2025-09-21T00:38:19+00:00
3108895,1.67,21:16:15,2025-09-20,16,1,apostaganha,2025-09-21T00:38:19+00:00
3108896,2.95,21:16:31,2025-09-20,16,1,apostaganha,2025-09-21T00:38:19+00:00
3108897,2.05,21:16:55,2025-09-20,16,1,apostaganha,2025-09-21T00:38:19+00:00
3108898,1.33,21:17:18,2025-09-20,17,1,apostaganha,2025-09-21T00:38:19+00:00
3108899,1.0,21:17:33,2025-09-20,17,1,apostaganha,2025-09-21T00:38:19+00:00
3108900,2.29,21:17:48,2025-09-20,17,1,apostaganha,2025-09-21T00:38:19+00:00
3108901,3.46,21:18:10,2025-09-20,18,1,apostaganha,2025-09-21T00:38:19+00:00
3108902,17.92,21:18:35,2025-09-20,18,1,apostaganha,2025-09-21T00:38:19+00:00
3108903,1.27,21:19:20,2025-09-20,19,1,apostaganha,2025-09-21T00:38:19+00:00
3108904,1.17,21:19:34,2025-09-20,19,1,apostaganha,2025-09-21T00:38:19+00:00
3108905,2.39,21:19:47,2025-09-20,19,1,apostaganha,2025-09-21T00:38:19+00:00
3108906,1.84,21:20:07,2025-09-20,20,1,apostaganha,2025-09-21T00:38:19+00:00
3108907,17.33,21:20:26,2025-09-20,20,1,apostaganha,2025-09-21T00:38:19+00:00
3108908,1.36,21:21:13,2025-09-20,21,1,apostaganha,2025-09-21T00:38:19+00:00
3108909,96.43,21:21:29,2025-09-20,21,1,apostaganha,2025-09-21T00:38:19+00:00
3108910,8.75,21:22:35,2025-09-20,22,1,apostaganha,2025-09-21T00:38:19+00:00
3108911,1.17,21:23:11,2025-09-20,23,1,apostaganha,2025-09-21T00:38:19+00:00
3108912,2.21,21:23:26,2025-09-20,23,1,apostaganha,2025-09-21T00:38:19+00:00
3108913,3.73,21:23:49,2025-09-20,23,1,apostaganha,2025-09-21T00:38:19+00:00
3108914,1.16,21:24:16,2025-09-20,24,1,apostaganha,2025-09-21T00:38:19+00:00
3108915,35.7,21:24:29,2025-09-20,24,1,apostaganha,2025-09-21T00:38:19+00:00
3108916,1.24,21:25:23,2025-09-20,25,1,apostaganha,2025-09-21T00:38:19+00:00
3108917,1.47,21:25:38,2025-09-20,25,1,apostaganha,2025-09-21T00:38:19+00:00
3108918,5.9,21:25:57,2025-09-20,25,1,apostaganha,2025-09-21T00:38:19+00:00
3108919,4.96,21:26:31,2025-09-20,26,1,apostaganha,2025-09-21T00:38:19+00:00
3108920,1.72,21:27:01,2025-09-20,27,1,apostaganha,2025-09-21T00:38:19+00:00
3108921,28.21,21:27:22,2025-09-20,27,1,apostaganha,2025-09-21T00:38:19+00:00
3108922,1.49,21:28:13,2025-09-20,28,1,apostaganha,2025-09-21T00:38:19+00:00
3108923,2.11,21:28:31,2025-09-20,28,1,apostaganha,2025-09-21T00:38:19+00:00
3108924,1.03,21:28:54,2025-09-20,28,1,apostaganha,2025-09-21T00:38:19+00:00
3108925,2.49,21:29:08,2025-09-20,29,1,apostaganha,2025-09-21T00:38:19+00:00
3108926,24.09,21:29:29,2025-09-20,29,1,apostaganha,2025-09-21T00:38:19+00:00
3108927,1.56,21:30:19,2025-09-20,30,1,apostaganha,2025-09-21T00:38:19+00:00
3108928,1.52,21:30:40,2025-09-20,30,1,apostaganha,2025-09-21T00:38:19+00:00
3108929,25.45,21:31:00,2025-09-20,31,1,apostaganha,2025-09-21T00:38:19+00:00
3108930,2.78,21:31:51,2025-09-20,31,1,apostaganha,2025-09-21T00:38:19+00:00
