rodada,timestamp,date,time_end,multiplicador,multiplicador_str,minuto,total,ingested_at
3108912,2025-09-20T21:23:26,2025-09-20,21:23:26,2.21,2.21,23,1,2025-09-21T00:43:22.447867+00:00
3108911,2025-09-20T21:23:11,2025-09-20,21:23:11,1.17,1.17,23,1,2025-09-21T00:43:22.447867+00:00
3108910,2025-09-20T21:22:35,2025-09-20,21:22:35,8.75,8.75,22,1,2025-09-21T00:43:22.447867+00:00
3108909,2025-09-20T21:21:29,2025-09-20,21:21:29,96.43,96.43,21,1,2025-09-21T00:43:22.447867+00:00
3108908,2025-09-20T21:21:13,2025-09-20,21:21:13,1.36,1.36,21,1,2025-09-21T00:43:22.447867+00:00
3108907,2025-09-20T21:20:26,2025-09-20,21:20:26,17.33,17.33,20,1,2025-09-21T00:43:22.447867+00:00
3108906,2025-09-20T21:20:07,2025-09-20,21:20:07,1.84,1.84,20,1,2025-09-21T00:43:22.447867+00:00
3108905,2025-09-20T21:19:47,2025-09-20,21:19:47,2.39,2.39,19,1,2025-09-21T00:43:22.447867+00:00
3108904,2025-09-20T21:19:34,2025-09-20,21:19:34,1.17,1.17,19,1,2025-09-21T00:43:22.447867+00:00
3108903,2025-09-20T21:19:20,2025-09-20,21:19:20,1.27,1.27,19,1,2025-09-21T00:43:22.447867+00:00
3108902,2025-09-20T21:18:35,2025-09-20,21:18:35,17.92,17.92,18,1,2025-09-21T00:43:22.447867+00:00
3108901,2025-09-20T21:18:10,2025-09-20,21:18:10,3.46,3.46,18,1,2025-09-21T00:43:22.447867+00:00
3108900,2025-09-20T21:17:48,2025-09-20,21:17:48,2.29,2.29,17,1,2025-09-21T00:43:22.447867+00:00
3108899,2025-09-20T21:17:33,2025-09-20,21:17:33,1.0,1,17,1,2025-09-21T00:43:22.447867+00:00
3108898,2025-09-20T21:17:18,2025-09-20,21:17:18,1.33,1.33,17,1,2025-09-21T00:43:22.447867+00:00
3108897,2025-09-20T21:16:55,2025-09-20,21:16:55,2.05,2.05,16,1,2025-09-21T00:43:22.447867+00:00
3108896,2025-09-20T21:16:31,2025-09-20,21:16:31,2.95,2.95,16,1,2025-09-21T00:43:22.447867+00:00
3108895,2025-09-20T21:16:15,2025-09-20,21:16:15,1.67,1.67,16,1,2025-09-21T00:43:22.447867+00:00
3108894,2025-09-20T21:15:59,2025-09-20,21:15:59,1.13,1.13,15,1,2025-09-21T00:43:22.447867+00:00
3108893,2025-09-20T21:15:26,2025-09-20,21:15:26,4.92,4.92,15,1,2025-09-21T00:43:22.447867+00:00
3108892,2025-09-20T21:15:09,2025-09-20,21:15:09,1.43,1.43,15,1,2025-09-21T00:43:22.447867+00:00
