cut,baseline_P(alta_em5),runs_high_mean,runs_high_max,runs_low_mean,runs_low_max
2.0,0.9641188004953707,1.9354748479985868,22,2.0587992815711216,19
5.0,0.660040838591732,1.2365381448634407,8,5.146160722687494,47
10.0,0.4023191012561184,1.104097129506008,6,10.215871161548732,127
20.0,0.22171153505926755,1.0492478226444972,3,20.431082257936822,176
